epoch,accuracy,auc,categorical_accuracy,loss,val_accuracy,val_auc,val_categorical_accuracy,val_loss
0,0.7555000185966492,0.8264093995094299,0.7555000185966492,0.7373218536376953,0.8071428537368774,0.8526591658592224,0.8071428537368774,0.6969688534736633
1,0.8379999995231628,0.9176779389381409,0.8379999995231628,0.4245314598083496,0.8342857360839844,0.8857438564300537,0.8342857360839844,0.6016383767127991
2,0.8744999766349792,0.9470798969268799,0.8744999766349792,0.32470038533210754,0.8485714197158813,0.8907367587089539,0.8485714197158813,0.7510676980018616
3,0.906000018119812,0.9629538059234619,0.906000018119812,0.2739741802215576,0.7614285945892334,0.8263878226280212,0.7614285945892334,1.5793863534927368
4,0.9079999923706055,0.9695286154747009,0.9079999923706055,0.258705198764801,0.8514285683631897,0.8894479274749756,0.8514285683631897,0.9816036820411682
5,0.9204999804496765,0.9729657769203186,0.9204999804496765,0.23624613881111145,0.8428571224212646,0.882693886756897,0.8428571224212646,1.2299201488494873
6,0.9290000200271606,0.9771361947059631,0.9290000200271606,0.22141438722610474,0.845714271068573,0.8910326361656189,0.845714271068573,1.2319403886795044
7,0.9325000047683716,0.9823611378669739,0.9325000047683716,0.19228701293468475,0.8471428751945496,0.8897877335548401,0.8471428751945496,1.3586974143981934
8,0.9394999742507935,0.9836868047714233,0.9394999742507935,0.17970286309719086,0.8428571224212646,0.8897817134857178,0.8428571224212646,1.3881884813308716
9,0.9465000033378601,0.9870637655258179,0.9465000033378601,0.1531999260187149,0.8428571224212646,0.8878468871116638,0.8428571224212646,1.6006194353103638
